"Won_Championship","Previous_SB_Wins","Number_Of_Wins_This_Season","Number_Of_First_Round_Draft_Picks","Team_Value","Playing_Style","Average_Player_Age","Number_Of_Injured_Players","Coach_Experience_Level","ID"
1,1,13,2,"Less_Than_Four_Billion","Balanced",27,"three","Advanced",1789
1,1,12,2,"Above_Four_Billion","Aggressive_Defense",27,"five","Intermediate",3355
0,2,15,3,"Less_Than_Four_Billion","Balanced",26,"six","Intermediate",3802
1,2,12,2,"Less_Than_Four_Billion","Aggressive_Defense",27,"four","Intermediate",4348
0,2,16,2,"Less_Than_Four_Billion","Aggressive_Defense",26,"three","Intermediate",4807
1,2,14,3,"Less_Than_Four_Billion","Balanced",26,"eight","Intermediate",7019
1,2,15,3,"Less_Than_Four_Billion","Balanced",27,"six","Intermediate",7414
0,2,16,3,"Less_Than_Three_Billion","Balanced",25,"five","Intermediate",7334
1,2,15,2,"Less_Than_Four_Billion","Balanced",27,"five","Intermediate",5444
1,1,14,2,"Less_Than_Four_Billion","Balanced",27,"five","Intermediate",5965
0,1,14,2,"Less_Than_Three_Billion","Aggressive_Defense",26,"six","Intermediate",306
0,0,15,2,"Less_Than_Three_Billion","Balanced",26,"five","Intermediate",4118
1,1,14,3,"Less_Than_Four_Billion","Aggressive_Defense",26,"six","Intermediate",6888
1,2,13,3,"Above_Four_Billion","Balanced",25,"five","Advanced",5207
1,2,13,3,"Less_Than_Four_Billion","Balanced",26,"six","Intermediate",1767
1,3,16,3,"Above_Four_Billion","Aggressive_Defense",27,"six","Intermediate",4623
0,2,13,2,"Less_Than_Four_Billion","Balanced",26,"seven","Beginner",3553
0,1,13,2,"Less_Than_Four_Billion","Balanced",27,"six","Intermediate",8034
1,2,14,2,"Less_Than_Three_Billion","Balanced",26,"six","Intermediate",4833
0,1,14,2,"Less_Than_Four_Billion","Balanced",27,"seven","Intermediate",3629
0,2,16,3,"Less_Than_Three_Billion","Balanced",25,"five","Intermediate",5520
1,2,15,3,"Less_Than_Four_Billion","Aggressive_Defense",27,"five","Intermediate",5826
1,2,13,3,"Less_Than_Four_Billion","Balanced",25,"five","Advanced",9013
0,2,14,2,"Less_Than_Four_Billion","Balanced",27,"six","Intermediate",5194
0,2,15,2,"Less_Than_Three_Billion","Balanced",26,"four","Intermediate",1815
1,2,15,2,"Less_Than_Four_Billion","Aggressive_Defense",26,"five","Intermediate",943
1,2,15,2,"Less_Than_Four_Billion","Balanced",26,"six","Intermediate",4619
1,2,14,2,"Less_Than_Four_Billion","Aggressive_Defense",27,"seven","Intermediate",9661
1,2,14,2,"Less_Than_Four_Billion","Balanced",27,"five","Intermediate",8380
1,2,13,2,"Less_Than_Four_Billion","Aggressive_Offense",27,"six","Intermediate",2266
1,1,14,3,"Less_Than_Three_Billion","Aggressive_Defense",26,"seven","Intermediate",2955
1,3,13,2,"Less_Than_Four_Billion","Balanced",26,"six","Intermediate",1250
1,2,14,2,"Less_Than_Four_Billion","Aggressive_Defense",27,"four","Intermediate",70
1,1,13,2,"Less_Than_Four_Billion","Aggressive_Defense",26,"six","Intermediate",6268
0,1,14,1,"Less_Than_Four_Billion","Aggressive_Defense",27,"three","Intermediate",4794
1,2,15,2,"Above_Four_Billion","Balanced",26,"three","Intermediate",2531
1,2,16,2,"Less_Than_Four_Billion","Aggressive_Defense",26,"five","Intermediate",8801
0,2,15,2,"Less_Than_Four_Billion","Balanced",25,"six","Intermediate",1166
1,2,14,3,"Less_Than_Four_Billion","Aggressive_Defense",27,"eight","Intermediate",5821
0,1,14,2,"Less_Than_Four_Billion","Aggressive_Defense",26,"five","Intermediate",2612
1,1,14,2,"Less_Than_Four_Billion","Balanced",26,"five","Intermediate",9987
1,2,16,3,"Less_Than_Four_Billion","Aggressive_Defense",27,"seven","Intermediate",8567
0,2,15,2,"Less_Than_Four_Billion","Aggressive_Defense",26,"four","Intermediate",9029
0,2,15,2,"Less_Than_Four_Billion","Aggressive_Defense",26,"three","Intermediate",4413
0,2,14,2,"Less_Than_Four_Billion","Balanced",27,"five","Intermediate",1929
0,2,14,3,"Less_Than_Four_Billion","Aggressive_Offense",26,"six","Intermediate",2650
0,2,14,2,"Above_Four_Billion","Aggressive_Defense",26,"six","Intermediate",3954
1,2,15,2,"Less_Than_Four_Billion","Balanced",26,"five","Intermediate",6778
1,1,15,3,"Less_Than_Four_Billion","Aggressive_Defense",26,"seven","Intermediate",7630
1,1,14,3,"Less_Than_Four_Billion","Aggressive_Defense",26,"six","Advanced",1053
1,2,14,2,"Less_Than_Three_Billion","Balanced",26,"four","Intermediate",8817
0,2,14,2,"Less_Than_Four_Billion","Aggressive_Defense",26,"seven","Intermediate",19
0,2,13,1,"Less_Than_Four_Billion","Aggressive_Defense",26,"six","Beginner",7135
0,2,15,2,"Less_Than_Four_Billion","Balanced",27,"three","Intermediate",8778
1,1,13,2,"Less_Than_Four_Billion","Aggressive_Defense",27,"six","Advanced",8813
0,2,16,2,"Less_Than_Four_Billion","Balanced",26,"three","Intermediate",5823
1,2,13,3,"Less_Than_Four_Billion","Aggressive_Defense",26,"five","Advanced",965
0,1,15,3,"Less_Than_Three_Billion","Aggressive_Defense",26,"four","Intermediate",8276
1,2,15,2,"Less_Than_Four_Billion","Balanced",27,"four","Intermediate",925
1,3,14,2,"Less_Than_Four_Billion","Balanced",27,"six","Intermediate",7244
1,2,12,2,"Less_Than_Four_Billion","Aggressive_Offense",26,"six","Intermediate",4301
0,2,14,2,"Less_Than_Four_Billion","Aggressive_Defense",26,"six","Intermediate",1062
0,2,12,1,"Less_Than_Four_Billion","Balanced",27,"eight","Beginner",2482
0,1,14,2,"Less_Than_Four_Billion","Aggressive_Defense",26,"six","Intermediate",894
0,3,14,1,"Less_Than_Four_Billion","Aggressive_Defense",27,"three","Beginner",8187
1,2,13,3,"Less_Than_Four_Billion","Balanced",26,"five","Advanced",1191
0,1,13,2,"Above_Four_Billion","Aggressive_Defense",26,"seven","Intermediate",5592
1,1,13,2,"Less_Than_Four_Billion","Balanced",26,"five","Intermediate",9635
0,1,11,1,"Less_Than_Four_Billion","Aggressive_Defense",27,"seven","Beginner",6436
0,3,16,2,"Less_Than_Four_Billion","Balanced",26,"two","Intermediate",7731
1,3,14,3,"Less_Than_Four_Billion","Aggressive_Offense",26,"six","Advanced",1599
0,2,12,2,"Above_Four_Billion","Balanced",27,"eight","Intermediate",8636
0,1,14,2,"Less_Than_Four_Billion","Aggressive_Defense",26,"five","Intermediate",6702
1,2,14,2,"Less_Than_Four_Billion","Aggressive_Defense",26,"five","Intermediate",4047
1,3,15,2,"Less_Than_Four_Billion","Aggressive_Defense",27,"four","Intermediate",3598
1,1,15,3,"Less_Than_Four_Billion","Balanced",26,"six","Intermediate",3860
1,2,13,2,"Less_Than_Four_Billion","Aggressive_Defense",27,"five","Intermediate",5261
1,2,15,2,"Less_Than_Four_Billion","Relaxed",27,"five","Intermediate",7150
1,2,14,2,"Less_Than_Four_Billion","Balanced",26,"six","Intermediate",5124
1,2,14,2,"Less_Than_Three_Billion","Aggressive_Defense",26,"six","Beginner",1388
0,2,16,3,"Less_Than_Four_Billion","Balanced",25,"six","Intermediate",863
1,2,15,3,"Less_Than_Four_Billion","Balanced",26,"seven","Intermediate",183
1,2,14,2,"Above_Four_Billion","Balanced",27,"six","Intermediate",6276
1,2,15,2,"Less_Than_Four_Billion","Balanced",25,"six","Intermediate",4482
0,2,12,2,"Less_Than_Four_Billion","Relaxed",26,"eight","Beginner",6959
0,2,14,2,"Less_Than_Four_Billion","Balanced",26,"five","Intermediate",1433
1,2,13,2,"Less_Than_Four_Billion","Relaxed",27,"four","Intermediate",6901
0,2,13,2,"Less_Than_Four_Billion","Balanced",26,"seven","Intermediate",738
0,2,13,2,"Less_Than_Four_Billion","Balanced",26,"seven","Intermediate",1836
1,2,16,3,"Less_Than_Four_Billion","Aggressive_Defense",25,"seven","Intermediate",4817
1,2,15,3,"Less_Than_Four_Billion","Aggressive_Defense",26,"eight","Intermediate",515
0,2,13,3,"Above_Four_Billion","Aggressive_Defense",26,"five","Advanced",1903
0,2,15,2,"Less_Than_Four_Billion","Balanced",27,"six","Intermediate",4352
1,1,15,3,"Above_Four_Billion","Balanced",27,"six","Intermediate",7186
1,2,13,2,"Less_Than_Four_Billion","Balanced",27,"five","Intermediate",3332
1,2,14,2,"Above_Four_Billion","Balanced",27,"four","Intermediate",7762
1,2,13,2,"Less_Than_Four_Billion","Balanced",27,"four","Intermediate",6652
0,2,15,2,"Less_Than_Four_Billion","Balanced",26,"five","Intermediate",6689
0,2,14,2,"Less_Than_Four_Billion","Balanced",26,"six","Intermediate",7974
1,2,13,2,"Less_Than_Four_Billion","Balanced",26,"five","Intermediate",698
0,3,12,1,"Less_Than_Four_Billion","Aggressive_Defense",27,"eight","Beginner",1855
0,1,13,2,"Less_Than_Four_Billion","Aggressive_Defense",27,"seven","Intermediate",8975
1,1,16,2,"Above_Four_Billion","Balanced",26,"five","Beginner",6773
1,2,16,2,"Less_Than_Four_Billion","Balanced",28,"six","Intermediate",5585
1,2,13,2,"Less_Than_Four_Billion","Aggressive_Defense",27,"six","Intermediate",3417
1,2,12,3,"Less_Than_Three_Billion","Aggressive_Defense",26,"seven","Advanced",9990
0,2,14,2,"Less_Than_Four_Billion","Balanced",26,"six","Beginner",5882
1,3,14,2,"Less_Than_Three_Billion","Balanced",27,"six","Intermediate",7187
0,3,12,1,"Above_Four_Billion","Aggressive_Defense",27,"six","Intermediate",9218
1,2,13,2,"Less_Than_Four_Billion","Balanced",27,"three","Intermediate",8433
1,1,14,2,"Less_Than_Four_Billion","Balanced",26,"five","Intermediate",9841
1,2,14,2,"Less_Than_Four_Billion","Relaxed",27,"five","Intermediate",7588
1,3,15,3,"Above_Four_Billion","Balanced",26,"five","Intermediate",9967
0,2,14,2,"Less_Than_Four_Billion","Balanced",26,"seven","Intermediate",9318
0,2,12,2,"Less_Than_Four_Billion","Balanced",27,"eight","Intermediate",7853
0,2,15,2,"Less_Than_Four_Billion","Balanced",26,"four","Intermediate",5773
0,1,14,2,"Less_Than_Four_Billion","Aggressive_Defense",26,"six","Beginner",9072
0,2,14,1,"Less_Than_Four_Billion","Aggressive_Defense",27,"four","Intermediate",2837
0,2,14,1,"Less_Than_Four_Billion","Balanced",26,"four","Intermediate",671
0,2,15,1,"Less_Than_Four_Billion","Balanced",26,"four","Beginner",6766
0,3,13,1,"Less_Than_Four_Billion","Balanced",27,"three","Intermediate",8366
0,2,13,2,"Less_Than_Four_Billion","Aggressive_Defense",27,"six","Intermediate",6876
1,2,13,3,"Less_Than_Three_Billion","Aggressive_Defense",26,"six","Advanced",3804
1,2,15,3,"Less_Than_Four_Billion","Balanced",27,"six","Intermediate",5233
1,2,13,2,"Less_Than_Four_Billion","Aggressive_Defense",26,"five","Intermediate",8304
0,2,14,2,"Less_Than_Three_Billion","Aggressive_Offense",27,"four","Intermediate",576
0,3,14,2,"Less_Than_Four_Billion","Aggressive_Defense",27,"six","Intermediate",3544
1,1,14,3,"Less_Than_Four_Billion","Balanced",26,"six","Intermediate",6339
1,3,14,3,"Less_Than_Three_Billion","Aggressive_Defense",25,"six","Intermediate",7540
1,3,14,3,"Less_Than_Four_Billion","Aggressive_Defense",27,"five","Advanced",1210
0,2,16,2,"Less_Than_Four_Billion","Aggressive_Defense",26,"three","Intermediate",7030
0,2,14,2,"Less_Than_Four_Billion","Relaxed",27,"four","Intermediate",3842
0,2,14,2,"Less_Than_Four_Billion","Balanced",26,"six","Intermediate",9472
1,3,15,2,"Less_Than_Four_Billion","Aggressive_Defense",26,"four","Intermediate",701
1,1,13,2,"Less_Than_Four_Billion","Balanced",25,"six","Intermediate",9120
1,2,14,1,"Less_Than_Four_Billion","Balanced",28,"three","Beginner",202
1,1,16,3,"Less_Than_Four_Billion","Aggressive_Defense",26,"six","Intermediate",1230
0,2,12,1,"Less_Than_Four_Billion","Aggressive_Offense",27,"six","Beginner",5571
0,2,14,1,"Less_Than_Four_Billion","Balanced",27,"four","Beginner",8203
0,3,14,1,"Less_Than_Four_Billion","Aggressive_Defense",27,"four","Beginner",5630
0,2,14,2,"Less_Than_Four_Billion","Balanced",26,"five","Intermediate",1746
1,2,14,2,"Less_Than_Three_Billion","Balanced",26,"six","Intermediate",7200
1,2,14,3,"Less_Than_Four_Billion","Aggressive_Defense",26,"five","Intermediate",4514
0,1,16,2,"Less_Than_Three_Billion","Balanced",25,"three","Intermediate",1153
1,1,12,2,"Less_Than_Four_Billion","Balanced",25,"five","Advanced",5171
1,3,15,3,"Less_Than_Four_Billion","Balanced",26,"seven","Intermediate",403
0,2,14,3,"Less_Than_Three_Billion","Aggressive_Defense",26,"six","Intermediate",2694
0,1,14,2,"Less_Than_Four_Billion","Aggressive_Defense",26,"seven","Intermediate",7705
1,2,14,3,"Less_Than_Four_Billion","Aggressive_Defense",26,"eight","Intermediate",6463
0,1,13,2,"Less_Than_Four_Billion","Aggressive_Defense",26,"seven","Beginner",7745
0,2,15,2,"Less_Than_Three_Billion","Aggressive_Defense",26,"five","Intermediate",9390
0,2,13,2,"Less_Than_Three_Billion","Aggressive_Defense",27,"seven","Intermediate",6806
1,2,14,2,"Less_Than_Four_Billion","Balanced",26,"five","Intermediate",625
0,2,15,2,"Above_Four_Billion","Balanced",26,"five","Intermediate",5487
1,2,14,2,"Less_Than_Four_Billion","Balanced",27,"six","Intermediate",2307
1,1,14,4,"Above_Four_Billion","Aggressive_Defense",26,"eight","Advanced",5949
0,3,13,1,"Less_Than_Four_Billion","Balanced",27,"four","Intermediate",1934
0,1,15,2,"Less_Than_Three_Billion","Aggressive_Defense",26,"six","Intermediate",2257
1,1,14,2,"Less_Than_Four_Billion","Balanced",26,"four","Intermediate",6783
1,1,15,3,"Less_Than_Four_Billion","Aggressive_Defense",27,"six","Intermediate",427
1,3,13,3,"Less_Than_Four_Billion","Aggressive_Defense",27,"five","Advanced",3239
1,2,15,2,"Less_Than_Four_Billion","Balanced",27,"five","Intermediate",5372
0,1,14,1,"Less_Than_Four_Billion","Balanced",27,"three","Beginner",3965
0,2,14,2,"Less_Than_Four_Billion","Balanced",26,"six","Intermediate",6030
0,2,13,2,"Less_Than_Four_Billion","Relaxed",27,"six","Intermediate",5812
1,2,15,2,"Less_Than_Four_Billion","Balanced",26,"six","Intermediate",1857
1,2,12,1,"Less_Than_Three_Billion","Aggressive_Defense",27,"three","Intermediate",8814
1,2,14,3,"Less_Than_Four_Billion","Aggressive_Defense",26,"six","Intermediate",1637
0,2,14,2,"Less_Than_Four_Billion","Aggressive_Defense",26,"six","Intermediate",4852
0,1,13,2,"Less_Than_Four_Billion","Balanced",27,"seven","Intermediate",1172
0,2,16,2,"Less_Than_Four_Billion","Aggressive_Defense",26,"four","Intermediate",2163
1,2,14,3,"Less_Than_Four_Billion","Aggressive_Defense",26,"seven","Intermediate",7618
0,1,13,1,"Less_Than_Four_Billion","Aggressive_Defense",26,"seven","Beginner",8048
0,2,14,2,"Less_Than_Four_Billion","Balanced",26,"six","Intermediate",8614
0,2,14,2,"Less_Than_Four_Billion","Aggressive_Defense",27,"five","Intermediate",4975
1,2,16,3,"Above_Four_Billion","Balanced",26,"six","Intermediate",533
0,1,14,1,"Above_Four_Billion","Aggressive_Defense",27,"four","Intermediate",7471
0,2,13,1,"Less_Than_Four_Billion","Balanced",27,"four","Beginner",9381
0,1,12,1,"Less_Than_Four_Billion","Balanced",27,"seven","Intermediate",1762
0,2,13,1,"Less_Than_Three_Billion","Balanced",26,"six","Beginner",4993
0,1,14,2,"Less_Than_Four_Billion","Balanced",26,"five","Intermediate",5362
1,2,14,2,"Less_Than_Four_Billion","Aggressive_Defense",27,"three","Intermediate",100
1,2,13,3,"Less_Than_Three_Billion","Aggressive_Defense",27,"six","Advanced",214
1,2,15,2,"Less_Than_Four_Billion","Aggressive_Defense",27,"five","Intermediate",1385
1,1,14,2,"Less_Than_Four_Billion","Aggressive_Defense",27,"five","Intermediate",661
1,2,13,2,"Less_Than_Four_Billion","Balanced",27,"five","Intermediate",1366
1,2,13,2,"Less_Than_Four_Billion","Balanced",27,"six","Intermediate",7422
1,2,13,2,"Less_Than_Four_Billion","Aggressive_Defense",26,"five","Intermediate",6115
0,3,15,2,"Less_Than_Four_Billion","Aggressive_Defense",25,"six","Beginner",2945
0,1,12,1,"Less_Than_Three_Billion","Balanced",28,"five","Intermediate",9199
0,2,13,2,"Less_Than_Four_Billion","Relaxed",27,"five","Intermediate",3987
1,1,14,3,"Less_Than_Four_Billion","Aggressive_Defense",26,"five","Advanced",9530
1,2,16,3,"Less_Than_Three_Billion","Balanced",26,"six","Intermediate",4004
0,2,17,2,"Less_Than_Four_Billion","Balanced",25,"three","Intermediate",8478
1,2,14,2,"Less_Than_Four_Billion","Aggressive_Defense",28,"six","Intermediate",9779
0,2,16,3,"Above_Four_Billion","Aggressive_Offense",26,"four","Intermediate",292
1,1,14,2,"Less_Than_Three_Billion","Balanced",26,"six","Intermediate",8981
0,2,15,2,"Above_Four_Billion","Aggressive_Defense",26,"six","Intermediate",1137
1,3,15,3,"Less_Than_Four_Billion","Balanced",26,"six","Intermediate",413
0,1,14,2,"Less_Than_Four_Billion","Aggressive_Defense",26,"six","Intermediate",5934
0,2,13,2,"Above_Four_Billion","Balanced",26,"seven","Intermediate",8677
1,1,14,3,"Less_Than_Four_Billion","Balanced",26,"six","Intermediate",9366
0,2,15,2,"Less_Than_Four_Billion","Balanced",26,"five","Intermediate",29
0,2,13,1,"Less_Than_Four_Billion","Balanced",27,"six","Beginner",238
0,2,15,2,"Less_Than_Three_Billion","Aggressive_Defense",26,"five","Intermediate",8252
1,1,13,3,"Less_Than_Four_Billion","Balanced",26,"five","Advanced",3781
1,3,15,3,"Less_Than_Four_Billion","Balanced",26,"seven","Intermediate",2029
0,2,14,2,"Less_Than_Four_Billion","Relaxed",26,"six","Intermediate",4697
0,2,14,3,"Less_Than_Four_Billion","Aggressive_Defense",26,"seven","Intermediate",8566
0,2,13,2,"Above_Four_Billion","Aggressive_Defense",26,"five","Intermediate",4083
0,1,13,2,"Less_Than_Four_Billion","Balanced",26,"eight","Intermediate",7209
0,2,12,2,"Less_Than_Four_Billion","Aggressive_Defense",26,"seven","Intermediate",3470
0,2,13,2,"Less_Than_Three_Billion","Aggressive_Offense",27,"six","Intermediate",3776
1,1,16,3,"Less_Than_Four_Billion","Balanced",26,"six","Intermediate",9808
1,2,13,3,"Less_Than_Three_Billion","Aggressive_Defense",26,"seven","Advanced",4907
0,1,14,1,"Above_Four_Billion","Aggressive_Defense",26,"four","Intermediate",5680
0,2,15,3,"Above_Four_Billion","Balanced",26,"six","Intermediate",2190
0,3,13,1,"Less_Than_Four_Billion","Balanced",26,"six","Beginner",5192
0,1,13,2,"Less_Than_Four_Billion","Balanced",27,"five","Intermediate",9865
0,2,13,2,"Less_Than_Three_Billion","Aggressive_Defense",26,"six","Intermediate",2290
0,3,14,1,"Less_Than_Four_Billion","Aggressive_Defense",26,"five","Beginner",9835
0,2,14,1,"Less_Than_Four_Billion","Balanced",27,"five","Intermediate",6032
0,2,12,2,"Less_Than_Four_Billion","Balanced",27,"seven","Intermediate",3212
0,3,13,2,"Less_Than_Four_Billion","Relaxed",27,"six","Intermediate",1692
1,2,15,3,"Less_Than_Four_Billion","Aggressive_Defense",26,"six","Intermediate",2981
1,2,12,2,"Less_Than_Four_Billion","Aggressive_Defense",27,"four","Intermediate",4520
1,2,15,3,"Less_Than_Four_Billion","Balanced",26,"five","Intermediate",9198
1,2,12,3,"Less_Than_Four_Billion","Balanced",26,"six","Advanced",9213
1,2,15,3,"Less_Than_Four_Billion","Aggressive_Defense",26,"six","Intermediate",457
1,2,15,2,"Less_Than_Three_Billion","Relaxed",26,"three","Intermediate",6021
0,2,15,2,"Above_Four_Billion","Aggressive_Defense",26,"five","Intermediate",7564
1,2,14,2,"Less_Than_Four_Billion","Aggressive_Offense",26,"five","Intermediate",1944
0,2,13,2,"Less_Than_Four_Billion","Balanced",27,"seven","Intermediate",4082
0,2,13,2,"Less_Than_Four_Billion","Aggressive_Defense",27,"four","Intermediate",3176
1,2,15,3,"Above_Four_Billion","Aggressive_Defense",26,"seven","Intermediate",6073
0,2,15,2,"Less_Than_Four_Billion","Aggressive_Defense",26,"four","Intermediate",4384
1,1,14,2,"Less_Than_Three_Billion","Balanced",27,"five","Intermediate",62
0,1,16,2,"Less_Than_Four_Billion","Aggressive_Defense",26,"four","Intermediate",5434
1,2,13,3,"Less_Than_Four_Billion","Balanced",26,"five","Advanced",7001
1,2,13,2,"Above_Four_Billion","Aggressive_Defense",27,"six","Intermediate",4633
0,1,15,2,"Less_Than_Four_Billion","Aggressive_Offense",27,"two","Intermediate",8333
0,2,14,2,"Less_Than_Four_Billion","Balanced",27,"five","Intermediate",2527
0,1,15,3,"Less_Than_Four_Billion","Balanced",27,"four","Advanced",9748
0,2,14,3,"Less_Than_Four_Billion","Balanced",26,"seven","Intermediate",2687
0,1,14,2,"Less_Than_Four_Billion","Aggressive_Defense",26,"seven","Intermediate",7778
0,3,12,1,"Less_Than_Four_Billion","Balanced",27,"six","Beginner",7584
1,1,14,3,"Less_Than_Four_Billion","Aggressive_Defense",26,"seven","Intermediate",3310
1,3,15,2,"Above_Four_Billion","Aggressive_Defense",26,"five","Intermediate",5399
0,2,15,3,"Less_Than_Three_Billion","Aggressive_Defense",26,"eight","Intermediate",4029
1,1,15,2,"Less_Than_Four_Billion","Aggressive_Defense",26,"five","Beginner",2256
1,1,15,2,"Less_Than_Four_Billion","Aggressive_Defense",26,"six","Intermediate",3421
0,3,14,2,"Less_Than_Four_Billion","Balanced",26,"four","Intermediate",9090
0,2,14,2,"Less_Than_Four_Billion","Aggressive_Defense",26,"six","Intermediate",1403
1,2,13,3,"Less_Than_Four_Billion","Balanced",26,"seven","Intermediate",3910
1,1,14,3,"Above_Four_Billion","Aggressive_Defense",25,"seven","Intermediate",5109
1,2,13,2,"Less_Than_Four_Billion","Balanced",26,"three","Advanced",3631
0,2,14,2,"Less_Than_Four_Billion","Balanced",26,"five","Intermediate",1174
1,1,14,3,"Less_Than_Four_Billion","Balanced",26,"six","Advanced",6574
0,3,13,2,"Less_Than_Four_Billion","Balanced",26,"seven","Intermediate",6792
0,1,13,2,"Less_Than_Four_Billion","Aggressive_Defense",26,"six","Intermediate",2318
0,1,15,2,"Less_Than_Four_Billion","Aggressive_Defense",26,"five","Intermediate",763
1,2,14,3,"Less_Than_Four_Billion","Balanced",26,"eight","Intermediate",6455
0,2,12,2,"Less_Than_Four_Billion","Aggressive_Defense",27,"seven","Intermediate",6107
1,2,14,3,"Less_Than_Four_Billion","Balanced",27,"five","Intermediate",2674
1,3,14,3,"Less_Than_Four_Billion","Aggressive_Defense",26,"six","Intermediate",4143
0,2,14,2,"Less_Than_Four_Billion","Aggressive_Defense",26,"six","Beginner",8686
1,2,13,3,"Above_Four_Billion","Aggressive_Defense",27,"six","Intermediate",8501
0,2,12,1,"Less_Than_Four_Billion","Balanced",27,"six","Intermediate",5515
0,2,13,2,"Less_Than_Four_Billion","Aggressive_Defense",27,"seven","Intermediate",1887
0,1,13,2,"Above_Four_Billion","Aggressive_Defense",27,"six","Intermediate",2985
0,3,14,2,"Less_Than_Four_Billion","Aggressive_Defense",27,"five","Intermediate",8798
1,2,14,2,"Less_Than_Four_Billion","Balanced",27,"five","Intermediate",6736
0,2,13,2,"Less_Than_Four_Billion","Balanced",27,"six","Intermediate",8047
1,1,13,2,"Above_Four_Billion","Aggressive_Defense",27,"seven","Intermediate",1764
1,2,12,2,"Less_Than_Four_Billion","Aggressive_Defense",26,"five","Intermediate",5411
0,2,16,3,"Above_Four_Billion","Balanced",25,"four","Intermediate",4371
1,3,13,2,"Less_Than_Four_Billion","Relaxed",27,"four","Intermediate",125
0,2,16,3,"Less_Than_Four_Billion","Balanced",26,"four","Intermediate",2948
1,2,13,2,"Less_Than_Four_Billion","Aggressive_Defense",27,"five","Intermediate",577
0,2,12,1,"Less_Than_Four_Billion","Balanced",28,"five","Intermediate",5940
1,2,14,2,"Less_Than_Four_Billion","Aggressive_Defense",26,"five","Intermediate",2720
1,1,13,1,"Less_Than_Four_Billion","Aggressive_Defense",27,"four","Intermediate",7863
1,1,12,2,"Less_Than_Four_Billion","Aggressive_Defense",27,"seven","Intermediate",268
0,2,14,2,"Less_Than_Four_Billion","Aggressive_Defense",27,"six","Intermediate",1902
0,2,14,2,"Less_Than_Four_Billion","Balanced",27,"five","Intermediate",543
0,2,14,3,"Less_Than_Four_Billion","Aggressive_Defense",26,"six","Intermediate",8113
1,2,14,2,"Above_Four_Billion","Aggressive_Defense",27,"four","Intermediate",2705
1,0,14,2,"Less_Than_Four_Billion","Aggressive_Defense",26,"five","Beginner",4476
0,2,14,1,"Less_Than_Four_Billion","Balanced",27,"four","Intermediate",7505
0,1,15,2,"Above_Four_Billion","Balanced",26,"five","Intermediate",1237
0,3,12,1,"Less_Than_Four_Billion","Balanced",27,"seven","Intermediate",5865
0,2,13,2,"Less_Than_Four_Billion","Aggressive_Defense",27,"six","Intermediate",3949
1,1,15,3,"Less_Than_Four_Billion","Balanced",26,"seven","Intermediate",2714
